pressure_s,pressure_h,pressure_i,pressure_v,pressure_a
801,796,368,690,798
939,719,928,831,409
899,353,956,907,624
913,593,886,931,934
949,603,905,925,911
846,827,564,279,924
964,600,961,754,953
905,736,322,920,809
656,441,924,320,934
863,939,914,914,888
922,628,245,871,909
877,493,735,668,810
772,807,424,472,900
467,825,949,495,934
823,837,955,934,630
960,301,901,693,800
644,835,965,947,959
948,841,940,951,218
832,554,847,930,841
897,431,909,685,932
737,838,848,630,646
797,740,524,920,918
930,614,896,701,919
851,716,247,844,647
621,242,916,905,450
923,265,108,903,660
485,377,815,927,638
889,427,942,175,914
931,600,552,397,380
924,244,953,875,880
811,686,557,949,885
909,376,143,336,918
935,274,925,898,916
933,834,928,776,890
939,909,943,944,923
918,656,887,418,920
861,241,917,487,945
828,621,934,774,950
940,693,922,944,911
906,530,789,840,308
833,839,915,929,908
891,524,771,854,462
917,819,270,772,933
945,909,278,889,945
936,655,756,920,900
958,795,657,785,406
954,715,679,869,914
951,439,924,559,927
944,866,934,386,289
925,702,888,202,846
852,503,950,951,850
361,430,645,840,744
879,555,327,890,850
917,676,540,599,950
607,661,883,942,870
932,607,805,776,653
939,264,885,848,946
946,379,957,870,955
893,655,951,663,948
862,608,947,862,914
865,723,105,321,738
945,787,954,875,928
894,828,937,868,946
689,593,914,684,912
940,688,923,736,958
437,612,882,739,830
937,237,687,735,945
888,682,944,804,885
942,635,841,655,910
866,387,849,696,810
957,639,942,411,955
905,690,611,680,948
947,925,921,942,925
955,473,823,945,840
725,325,880,937,957
927,607,825,829,956
939,601,920,886,901
945,698,913,952,910
147,923,683,923,949
445,602,888,939,952
968,610,828,939,953
970,554,738,842,735
762,866,582,818,772
960,352,889,941,963
961,488,828,852,947
960,846,637,903,915
981,646,646,686,776
961,782,928,960,850
499,275,736,821,886
824,786,839,941,941
964,714,786,941,925
955,785,404,469,819
904,738,819,870,941
933,623,901,833,710
874,712,871,931,928
895,788,828,889,949
957,413,214,154,932
957,592,880,874,932
601,308,926,930,948
954,784,862,894,960
933,599.5,829,841,628.5
959,613,881,924,868
887,739,939,930,870
942,922,324,929,900
707.5,588,573,925,888
627,899,917,890,599
714.5,639,734,940,880
719,744,618,320,944
762,649,341,432,649
677.5,582,834,888,752
947,674,803,610,820
950,667,823,703,929
823,692,531,780,876
757,731,714,950,850
523.5,669,796,936,924
701.5,702,595,953,762.5
771,499,754,950,932
844,929,928,894,841
911,645,870,883,623
860,578,810,745,650
864,741,880,101,738
859,596,905,828,611
848,528,256,587,670
924,154,456,709,828
886,650,542,716,680
902,332,887,511,818
876,596,834,670,740
856,458,806,852,820
838,562,920,905,893
799,636,936,908,903
901,617,945,920,881
889,593,932,900,860
891,783,920,905,826
852,625,953,732,689
787,632,933,357,730
809,622,942,940,770
815,702,946,260,831
934,589,920,550,760
843,592,923,935,780
880,624,916,874,810
749,502,920,890,800
886,573,922,902,790
878,828,745,705,930
904,680,314,930,900
902,551,919,941,719
946,633,920,919,867
